1.012146085732187117e+00 1.064314302247270083e+00 1.095642986371562877e+00 1.300429537447858053e+00 1.251384666161570181e+00 7.375733607747650966e-01 5.148822929388269243e-01 1.294843096521810288e+00
1.042354109211705904e+00 8.122973076888715394e-01 1.171823492696406843e+00 1.005579489190390419e+00 6.939279035987196975e-01 1.099021324430597524e+00 1.253415079188438863e+00 1.022350707547037940e+00
1.055132587648585307e+00 1.304348014409859591e+00 6.419459154981757010e-01 1.466217334827000229e+00 9.211225285966707643e-01 6.888838939346922929e-01 6.075289514781867517e-01 1.278591482557131398e+00
8.167411095267682608e-01 5.124189492585611294e-01 1.421081282082856223e+00 1.399519287210204466e+00 1.236318973373485619e+00 1.280294628690404668e+00 8.927543040896344095e-01 1.352860689612579215e+00
7.054373466762391409e-01 9.327590390035431778e-01 1.252144784909734243e+00 7.571539417049675258e-01 1.157260130418518607e+00 1.235479119934662418e+00 7.818720514354531304e-01 1.093183561998632758e+00
6.156740985413553524e-01 6.503077532764707236e-01 1.281876636735554520e+00 5.105051523779812195e-01 7.895939906604421132e-01 1.132211480440440621e+00 8.717858588462635838e-01 1.404208727969793458e+00
1.081387616911462235e+00 9.968821226896135146e-01 7.737983419158228626e-01 7.489216694283503672e-01 1.499166557967108071e+00 1.353656386598942607e+00 9.420000565192070408e-01 1.441995646524978358e+00
5.017692276924707873e-01 1.231338182215917065e+00 9.693887387077927409e-01 9.587799018838305543e-01 1.059172785891997481e+00 1.283808877814196503e+00 8.243211845310727259e-01 1.239892809452239009e+00
5.241861841315206272e-01 5.258025801391594811e-01 6.600179133394061814e-01 1.273695193542992987e+00 5.517755798721999394e-01 5.637406741240795771e-01 9.091487077406645856e-01 1.188888518289762830e+00
7.942034237966806298e-01 6.663575886131396508e-01 1.433750546707423634e+00 1.482765669191524527e+00 9.661630884419221132e-01 1.303017806575420767e+00 9.558630680574826677e-01 1.143898395262045620e+00
